1_ortho	2_phon	3_lemme	4_cgram	5_genre	6_nombre	7_freqlemfilms2	8_freqlemlivres	9_freqfilms2	10_freqlivres	11_infover	12_nbhomogr	13_nbhomoph	14_islem	15_nblettres	16_nbphons	17_cvcv	18_p_cvcv	19_voisorth	20_voisphon	21_puorth	22_puphon	23_syll	24_nbsyll	25_cv-cv	26_orthrenv	27_phonrenv	28_orthosyll	29_cgramortho	30_deflem	31_defobs	32_old20	33_pld20	34_morphoder	35_nbmorph
a	a	a	NOM	m		81.36	58.65	81.36	58.65		3	8	1	1	1	V	V	25	18	1	1	a	1	V	a	a	a	NOM,AUX,VER			1	1	a	1
a	a	avoir	AUX			18559.22	12800.81	6350.91	2926.69	ind:pre:3s;	3	8	0	1	1	V	V	25	18	1	1	a	1	V	a	a	a	NOM,AUX,VER			1	1	avoir	1
a	a	avoir	VER			13572.40	6426.49	5498.34	1669.39	ind:pre:3s;	3	8	0	1	1	V	V	25	18	1	1	a	1	V	a	a	a	NOM,AUX,VER	93	16	1	1	avoir	1
a capella	akapEla	a capella	ADV			0.04	0.07	0.04	0.07		1	2	1	9	7	V CVCVCCV	VCVCVCV	0	0	6	5	a-ka-pE-la	4	V-CV-CV-CV	allepac a	alEpaka	a ca-pel-la	ADV			3.85	2.85	a-capella	2
a cappella	akapEla	a cappella	ADV			0.04	0.07	0.04	0.07		1	2	1	10	7	V CVCCVCCV	VCVCVCV	0	0	6	5	a-ka-pE-la	4	V-CV-CV-CV	alleppac a	alEpaka	a cap-pel-la	ADV			4.6	2.85	a-cappella	2
a contrario	ak§tRaRjo	a contrario	ADV			0.00	0.27	0.00	0.27		1	1	1	11	9	V CVCCCVCVV	VCVCCVCYV	0	0	4	5	a-k§-tRa-Rjo	4	V-CV-CCV-CYV	oirartnoc a	ojRaRt§ka	a con-tra-rio	ADV			4.3	3.3	a-contrario	2
a fortiori	afORsjoRi	a fortiori	ADV			0.04	0.88	0.04	0.88		1	2	1	10	9	V CVCCVVCV	VCVCCYVCV	1	0	3	4	a-fOR-sjo-Ri	4	V-CVC-CYV-CV	iroitrof a	iRojsROfa	a for-tio-ri	ADV			4.4	3.95	a-fortiori	2
a giorno	adZjORno	a giorno	ADV			0.00	0.27	0.00	0.27		1	2	1	8	8	V CVVCCV	VCCYVCCV	1	0	3	4	ad-ZjOR-no	3	VC-CYVC-CV	onroig a	onROjZda	a gior-no	ADV			3.85	3.85	a-giorno	2
a jeun	aZ1	à jeun	ADV			1.45	3.85	0.18	0.00		1	2	0	6	3	V CVVC	VCV	1	6	0	3	a-Z1	2	V-CV	nuej a	1Za	a jeun	ADV			2.9	1.6	à-jeun	2
a l'instar	al5staR	a l'instar	PRE			0.26	0.00	0.26	0.00		1	2	1	10	7	V C'VCCCVC	VCVCCVC	1	0	3	4	a-l5s-taR	3	V-CVC-CVC	ratsni'l a	Rats5la	a l'ins-tar	PRE			4.8	3	a-l'instar	2
a posteriori	apOsteRjoRi	a posteriori	ADV			0.05	0.20	0.01	0.14		1	2	1	12	11	V CVCCVCVVCV	VCVCCVCYVCV	1	0	4	6	a-pOs-te-Rjo-Ri	5	V-CVC-CV-CYV-CV	iroiretsop a	iRojRetsOpa	a pos-te-rio-ri	ADV			4.7	4.8	a-posteriori	2
a priori	apRijoRi	a priori	ADV			1.04	3.85	0.63	2.57		2	3	1	8	8	V CCVVCV	VCCVYVCV	1	0	4	5	a-pRi-jo-Ri	4	V-CCV-YV-CV	iroirp a	iRojiRpa	a prio-ri	ADV,NOM			3.8	3.25	a-priori	2
a priori	apRijoRi	a priori	NOM	m		0.41	0.47	0.41	0.47		2	3	1	8	8	V CCVVCV	VCCVYVCV	1	0	4	5	a-pRi-jo-Ri	4	V-CCV-YV-CV	iroirp a	iRojiRpa	a prio-ri	ADV,NOM	93	16	3.8	3.25	a-priori	2
aa	aa	aa	NOM	m	s	0.01	0.00	0.01	0.00		1	2	1	2	2	VV	VV	20	35	2	2	a-a	2	V-V	aa	aa		NOM			1	1	aa	1
ab absurdo	abapsuRdo	ab absurdo	ADV			0.00	0.07	0.00	0.07		1	1	1	10	9	VC VCCVCCV	VCVCCVCCV	0	0	4	4	a-bap-suR-do	4	V-CVC-CVC-CV	odrusba ba	odRuspaba	ab ab-sur-do	ADV			5.05	4.45	ab-absurdo	2
ab initio	abinisjo	ab initio	ADV			0.01	0.07	0.01	0.07		1	1	1	9	8	VC VCVCVV	VCVCVCYV	0	0	4	4	a-bi-ni-sjo	4	V-CV-CV-CYV	oitini ba	ojsiniba	ab i-ni-tio	ADV			4.3	3.1	ab-initio	2
ab ovo	abovo	ab ovo	ADV			0.00	0.27	0.00	0.27		1	1	1	6	5	VC VCV	VCVCV	0	0	4	4	a-bo-vo	3	V-CV-CV	ovo ba	ovoba	ab o-vo	ADV			3	2.35	ab-ovo	2
abaca	abaka	abaca	NOM	m	s	0.01	0.00	0.01	0.00		1	1	1	5	5	VCVCV	VCVCV	0	1	4	5	a-ba-ka	3	V-CV-CV	acaba	akaba		NOM			2	1.9	abaca	1
abaissa	abEsa	abaisser	VER			4.93	18.04	0.00	2.64	ind:pas:3s;	1	1	0	7	5	VCVVCCV	VCVCV	2	5	0	0	a-bE-sa	3	V-CV-CV	assiaba	asEba	a-bais-sa	VER	100	25	1.75	1.55	abaisser	1
abaissai	abEsE	abaisser	VER			4.93	18.04	0.10	0.07	ind:pas:1s;	1	3	0	8	5	VCVVCCVV	VCVCV	0	5	0	0	a-bE-sE	3	V-CV-CV	iassiaba	EsEba	a-bais-sai	VER	100	25	1.85	1.5	abaisser	1
abaissaient	abEsE	abaisser	VER			4.93	18.04	0.00	0.41	ind:imp:3p;	1	3	0	11	5	VCVVCCVVVCC	VCVCV	0	5	0	0	a-bE-sE	3	V-CV-CV	tneiassiaba	EsEba	a-bais-saient	VER	100	25	1.9	1.5	abaisser	1
abaissait	abEsE	abaisser	VER			4.93	18.04	0.02	2.50	ind:imp:3s;	1	3	0	9	5	VCVVCCVVC	VCVCV	1	5	0	0	a-bE-sE	3	V-CV-CV	tiassiaba	EsEba	a-bais-sait	VER	100	25	1.8	1.5	abaisser	1
abaissant	abEs@	abaissant	ADJ	m	s	0.04	0.27	0.03	0.27		2	2	1	9	5	VCVVCCVCC	VCVCV	2	6	7	5	a-bE-s@	3	V-CV-CV	tnassiaba	@sEba	a-bais-sant	ADJ,VER	100	19	1.75	1.45	a-baissant	2
abaissant	abEs@	abaisser	VER			4.93	18.04	0.01	2.50	par:pre;	2	2	0	9	5	VCVVCCVCC	VCVCV	2	6	7	5	a-bE-s@	3	V-CV-CV	tnassiaba	@sEba	a-bais-sant	ADJ,VER	100	25	1.75	1.45	abaisser	1
abaissante	abEs@t	abaissant	ADJ	f	s	0.04	0.27	0.01	0.00		1	1	0	10	6	VCVVCCVCCV	VCVCVC	0	1	0	0	a-bE-s@t	3	V-CV-CVC	etnassiaba	t@sEba		ADJ	100	19	2.5	1.9	a-baissant	2
abaisse	abEs	abaisse	NOM	f	s	0.02	0.00	0.02	0.00		2	6	1	7	4	VCVVCCV	VCVC	2	4	7	4	a-bEs	2	V-CVC	essiaba	sEba	a-bais-se	NOM,VER	42	21	1.6	1.4	a-baisser	2
abaisse	abEs	abaisser	VER			4.93	18.04	1.28	3.45	imp:pre:2s;ind:pre:1s;ind:pre:3s;	2	6	0	7	4	VCVVCCV	VCVC	2	4	7	4	a-bEs	2	V-CVC	essiaba	sEba	a-bais-se	NOM,VER	100	25	1.6	1.4	abaisser	1
abaisse-langue	abEsl@g	abaisse-langue	NOM	m		0.04	0.14	0.04	0.14		1	1	1	14	7	VCVVCCV-CVCCVV	VCVCCVC	0	0	8	5	a-bE-sl@g	3	V-CV-CCVC	eugnal-essiaba	g@lsEba	abaisse-langue	NOM			6.3	2.85	abaisse-langue	2
abaissement	abEs°m@	abaissement	NOM	m	s	0.31	2.16	0.31	2.16		1	1	1	11	7	VCVVCCVCVCC	VCVCVCV	0	1	8	5	a-bE-s°-m@	4	V-CV-CV-CV	tnemessiaba	@m°sEba	a-bais-se-ment	NOM	100	28	2.25		a-baisser-ment	3
abaissent	abEs	abaisser	VER			4.93	18.04	0.05	0.95	ind:pre:3p;	1	6	0	9	4	VCVVCCVCC	VCVC	1	4	0	4	a-bEs	2	V-CVC	tnessiaba	sEba	a-bais-sent	VER	100	25	1.85	1.4	abaisser	1
abaisser	abese	abaisser	VER			4.93	18.04	1.09	2.91	inf;	1	10	1	8	5	VCVVCCVC	VCVCV	2	2	8	5	a-be-se	3	V-CV-CV	ressiaba	eseba	a-bais-ser	VER	100	25	1.7	1.8	abaisser	1
abaissera	abEs°Ra	abaisser	VER			4.93	18.04	0.19	0.07	ind:fut:3s;	1	1	0	9	7	VCVVCCVCV	VCVCVCV	0	1	0	0	a-bE-s°-Ra	4	V-CV-CV-CV	aressiaba	aR°sEba	a-bais-se-ra	VER	100	25	1.8		abaisser	1
abaisserai	abEs°RE	abaisser	VER			4.93	18.04	0.10	0.07	ind:fut:1s;	1	4	0	10	7	VCVVCCVCVV	VCVCVCV	0	2	0	0	a-bE-s°-RE	4	V-CV-CV-CV	iaressiaba	ER°sEba	a-bais-se-rai	VER	100	25	2.05		abaisser	1
